ID;reference;Identify;Guess;Seek;Assess;Rater_1;Rater_oli;Rater_random
BC20I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Combien de couches y-t-il ?;Il existe d'autre couches dans la terre à part le manteau .;Quelles sont les autres couches et combien sont-elles ?;La terre contient 7 couches  dont le noyau.;1;1.0;0
BC20I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Entrainement de la mémoire.;On peut entraîner notre mémoire de différents exercices .;Quels sont les exercices à faire pour bien entraîner notre mémoire ?;Il y a plusieurs activités qui aident la mémoiremais surtout il faut avoir un sommeil suffisant et bien reglé.;1;1.0;1
BC20I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;De quand date le premier humain momifié ?;Du 19e siècle?;De quand date le premier humain momifié  en Egypte ?;? ??‽¿?;1;1.0;1
BC20I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L'or dans les couronnes dentaires;Les couronnes dentaires en or sont plus solides et ne cassent pas facilement;Pourquoi fait-on des couronnes dentaires en or ?;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0;0.0;0
BC20I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;L'Australie;C'est un pays du sud en Océanie ;Quand les premiers humain à y être aller ?;Je ne sais pas.;0;0.0;0
BC20I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Quels sont les autres dieu;Icare , heros;Quels sont les autres dieux;Je ne sais pas;1;0.0;1
BC20I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Romulus est un roi de Rome;Qui est Romulus ?;Dans la légende, Romulus est le premier roi de Rome;1;1.0;1
BC20I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Quelle est la taille du plus grand arbre;60 mètre de haut;Combien mesure le plus grand arbre ?;Je ne sais pas.;1;1.0;0
BC1I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Pourquoi ont apelle le liquide le magma.;Moi je crois que le magma est t' une ville d'Afrique.;Quelle est la température du m agma.;Je n'et pas trouvé.;0;0.0;1
BC1I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Que le cerveaua 5 sens.;Le cerveau est aussi responsable de la fonction attention;Quelles sont les autres fonctions de notre cerveau?;Le Le cerveau contrôle toutes nos actions,volontaires et involontaires;1;0.0;1
BC1I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;l'Égypte antique;C'est un ancien pays de l'Afrique ;Qu'est ce que l'Égypte antique ?;l'Égypte antique est une aôncienne civilisation de l'Afrique du Nord;1;1.0;1
BC1I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L' or dans les couronnes dentaire;Les couronnes dentaires en or son plus solides et ne casse pas facilement;Pourquoi l' or est il utile pour fonctionnement des dents équipement spatiaux;On utilise les courants dentaires pour restaurer une dent qui a été détruite;0;0.0;1
BC1I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;Est-ce qu'il y a quelqu'un qui a des informations des traces dans les roches.;Ces traces se forment automatiquement quand un être vivant meurt.;Comment les êtres vivants laissent-ils des traces dans les roches??;Seul tout petit proposition des organismes peut laisser des traces dans les roches.;0;0.0;1
BC1I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Une mythologie;Une mythologie est un ensemble de contes imaginaires;Qu'est-ce qu'une mythologie ?;Une mythologie est un ensemble de légendes liés à une civilisation bien précise;1;1.0;1
BC1I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romulus;Romus est un roi de Rome;Qui est Romulus ?;Dans la légende Romulus et le premier roi de Rome il y a 12 ans;1;1.0;1
BC1I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Les plantes des forêts tropicales;Les Ford tropicale contiennent tous types de plantes;Quelle plante peut-on voir dans les forêts tropicales ?;Les forêts tropicales sont toujours ouvertes car il pleut tout le temps;0;0.0;1
BC16I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Les Couches de terre;Il existe d 'autres couches dans le manteau .;Quelle sont les autres couches de la terre;La terre contient 7 chouches dont le noyau.;1;1.0;1
BC16I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Autres fonctions du cerveau;Le cerveau est aussi responsable de la fonction attente;Quelle sont les autres fonctions de notre cerveau ?;Le cerveau toutes nos actions volontaires et involontaire;1;1.0;0
BC16I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;Je ne sais pas se ce c'est la momification?;Je sais que la mamifacation la personne qui est à l'intérieur est très protégé ;Qu'es-ce qu un archéologue ;C'est bon ;0;0.0;0
BC16I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;L'or dans les couronnes dentaires;Les couronnes dentaires en or sont plus solides et ne cassent pas facilement;Pourquoi fait-on des couronnes dentaires en or ?;On utilise les couronnes dentaires pour restaurer une dent qui a été détruite;0;0.0;1
BC16I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;La formation des traces dans les roches;Ces traces se forment automatiquement quand un être vivant meurt;Ces traces se forment automatiquement quand un être vivant meurt;Seule une toute petite proportion des organismes peut laisser des traces dans les roches;0;0.0;0
BC16I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;Une mythologie;Une mythologie est un ensemble de contes imaginainres;Qu'est ce qu'une mythologie ?;Une mythologie est un ensemble de légendes liées à une civilisation bien précise;1;1.0;0
BC16I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Romains La mer Méditérranée;La mer Méditérranée entoure l'Europe;Où se trouve la mer Méditérranée ?;La Méditérranée est une mer internationale;0;0.0;0
BC16I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Température des fôrets tropicales;La température dans les fôrets tropicales est très forte;Quelle est la température dans une fôret tropicale ?;La température dans les fôrets tropicales est entre 30° et 40°C Les fôrets;1;1.0;1
BC12I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Le magma est le responsable de l'explosion car c'est le coeur du volcan.;IL existe d'autres couches dans la terre à par le manteau.;Que se passe-t-il pendant l'éruption du volcan;IL y a d'autres couches dans la terre dont le noyau;0;0.0;0
BC12I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;La capacité de stockage de notre cerveau;Notre cerveau peut stocker plus d'informations que un ordinateur;Il y a 13 zones dans le cerveau;Le cerveau contre toutes nos actions volontaires;0;0.0;1
BC12I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;?7;Le pharaon a vécu 3000 ans avant Jésus-Christ;Un archéologue c'est une personne qui travaille dans les origines antiques;?;0;0.0;1
BC12I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;Laure est aussi utilisé dans la fabrication des équipement spatiaux;Les téléphones ordinateurs les appareils électroniques contiennent de l'or en tout petit quantité;?;L'infirmier déjà connecté le composant interne deséquipements spatiaux;0;0.0;0
BC12I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. ;Ces traces se forment automatiquement quand un être vivant meurt;L'australie se trouve au sud du globe;Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains !;0;0.0;1
BC12I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;L'olympe se trouve à Athènes ;Une mythologie est un ensemble de contes imaginainres;Une mythologie est un ensemble de contes imaginainres;Une mythologie est un ensemble de légendes liées à une civilisation bien précise;0;0.0;1
BC12I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité;Il y a plusieurs dieux Romains;Il y a Arphodite Romulusn;Il y a douze dieux romains comme Venus la déesse de la beauté, Appolo le dieu du soleil;0;0.0;0
BC12I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année.;Les fôrtes tropicales contiennent tous types de plantes La température dans les fôrets tropicales est très forte Les fôrets tropicales se trouvent dans différents endroits du monde;Dans la forêt tropicaleil y a tout types de plantes;La température dans les fôrets tropicales est entre 30° et 40°C;0;0.0;1
