q_index;text;question;div_rater1;div_rater2;div_rater3
196;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi ces petits yeux sont chargés de traiter une petite partie de l'environnement ?;2;2;2
197;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Comment les point sont ensuite assemblés;2;2;0
198;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;C'est quoi un casque de vision 3D ?;2;2;2
199;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Combien d'yeux petits ont les humains en moyenne ?;2;2;2
200;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Quel être vivant a le plus de petis yeux ?;1;1;2
201;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Est ce qu'ils voient bien les couleurs ?;2;2;2
202;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Est ce que l'escargot a plus de 2 yeux ?;2;2;2
203;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Quelle est l'oeil le moins complexe chez les insectes ?;2;2;2
204;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Comment ils voient derrière ?;1;1;0
205;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Est ce qu'ils sont comme ça de la naissance à la mort ?;2;2;2
206;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;La libellule en a 15000 pile ou un peu plus/moins ? ;0;0;2
207;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Et l'abeille ?;0;0;2
208;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Peut-on voir le petit oeil d'un insecte à l'oeil nu ? ;2;2;2
209;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Et avec une loupe ?;2;2;2
210;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Quel est l'insecte ayant l'oeil le moins complexe ?;2;2;2
212;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;C'est le jour ou la nuit ?;2;2;2
213;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi les yeux des insectes font quasiment le tour de leur tête ?;2;2;2
214;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi l'oeil de l'abeille contiennent 4500 petits yeux ?;2;2;2
215;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi un petit oeil produit un simple petit point d'une teinte et d'une intensité lumineuse données ?;2;2;2
216;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;C'est quoi une intensité ?;2;2;2
217;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Combien de petits yeux ont les fourmis ?;2;2;2
218;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Quelle taille font les petits yeux des insectes ?;2;2;2
219;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi les insectes ont plus d'oeil que nous les humains ?;2;2;2
220;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;"Dans la phrase ""un petit oeil produit un simple point"", c'est quoi un point ?";1;1;2
221;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi la libellule a plus d'oeil que l'abeille ?;2;2;2
222;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;"Quand le texte parle de ""petits yeux"", c'est des yeux comme les nôtres ou des minuscules? parce que 15000 oeil ville les notres ça prendrait tout le corps de l'insecte,";1;1;1
223;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;C'est qui qui a la vision en 3D ses l'abeille ou la libellule ?;1;1;1
224;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi la libellule a 15000 oeil alors que l'abeille a 4500 ?;2;2;2
225;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Est ce que l'oeil d'une libellule contiennent 15000 petit oeil ou s'est un nombre rond ?;0;0;1
226;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Une petit oeil voit combien en taille ?;2;2;2
227;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Pourquoi ils ont autant d'oeil ?;2;2;2
230;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;La 3D est bien longueur, hauteur, largeur et profondeur ?;2;2;2
231;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Combien l'oeil des autres insectes contiennent-ils de petits yeux ?;2;2;2
232;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Quelle sorte de vision ça fait aussi insectes ?;1;1;2
233;Les énormes yeux des insectes font quasiment le tour de leurs têtes. Ils voient donc en même temps vers l’avant, vers l’arrière, à droite, à gauche, vers le haut et vers le bas. Encore mieux qu’un casque de vision en 3D! En revanche, ils ne voient pas très net, parce que leur œil est constitué de centaines, ou même de milliers de petits yeux simples. Chacun de ces petits yeux est chargé de traiter une toute petite partie de l’environnement. Un petit œil produit un simple point d’une teinte et d’une intensité lumineuse données. Ces points sont ensuite assemblés les uns aux autres dans le cerveau de l’insecte pour former une image complète et unique. Un œil d’une abeille contient 4500 petits yeux. Celui d’une libellule en a 15000: c’est l'œil le plus complexe chez les insectes !;Est ce que les insectes ont obligatoirement plus de 1000 petits yeux ?;0;0;0
